Departamento
FSJ - Fundamentos Sociais e Jurídicos da Administração
GEP - Departamento de Gestão Pública
CFC - Contabilidade, Finanças e Controle
POI - Administração da Produção e de Operações
TDS - Technology and Data Science (Tecnologia e Ciência de Dados)
MKT - Marketing
ADM - Administração Geral e Recursos Humanos
PAE - Planejamento e Análise Econômica aplicados à Administração
