"disciplina","programa","Creation Date","Modified Date","Slug","Creator"
"Contabilidade e Auditoria para a Gestão Pública","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Atividades Multidisciplinares I","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Sociologia e o Mundo Contemporâneo","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Sociologia e Modernidade","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Comunicação em Linguagem Clara para Diferentes Públicos","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Conexão Sul e Gestão de Projetos","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Desenvolvimento Sustentável","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Desafios da Inserção Profissional","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Desenho e Gestão de Mudança em Organizações Públicas","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Diagnósticos de Problemas e Políticas Públicas Inovadoras","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Direito Constitutional e Administrativo","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Diversidades Contemporâneas e Políticas Públicas","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Formação do Brasil Contemporâneo","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Finanças e Compras Públicas","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Gestão de Pessoas no Setor Público","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Estruturação Financeira para Investimentos Públicos","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Imersão Federal, Sistema Político e Conjuntura Econômica","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Gestão de Relacionamentos","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Gestão por Processos e Governo digital","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Imersão Subnacional e Dilemas Éticos na Área Pública","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Governança Urbana, Territorial e Metropolitana","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Matemática Aplicada","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Instrumentos de Modelagem para Decisões Públicas","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Liderança em Organizações Públicas","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Introdução à Administração Pública","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Macroeconomia","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Microeconomia","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Organizações Internacionais e Políticas Públicas","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Oficina de Integração e Interpretação de Texto","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Planejamento e Gestão de Organizações Públicas","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Políticas Sociais e Estado de Bem-estar (Oficina)","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Sociologia Clássica","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Pré-calculo","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Projeto Aplicado","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Políticas Sociais e Estado de Bem-estar (Teórica)","CGAP - Curso de Graduação em Administração Pública","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
